"species","tissueType","cellName","markerNames","markerEnsemblIDs","markerHgncIDs"
"human","Fetal kidney","Primitive vesicle cell","AC092159.2 CAMK2A DACH2 DSC1 KIRREL2 KREMEN2 LINC01031 RFPL1 RP1-137K24.1 RP11-387A1.5 RP11-449D8.1 RSPO1 WFIKKN1","ENSG00000070808 ENSG00000126733 ENSG00000134765 ENSG00000126259 ENSG00000131650 ENSG00000232077 ENSG00000128250 ENSG00000169218 ENSG00000127578","HGNC:1460 HGNC:16814 HGNC:3035 HGNC:18816 HGNC:18797 HGNC:49017 HGNC:9977 HGNC:21679 HGNC:30912"
"human","Fetal kidney","Ureteric bud cell","CLDN6 LAMA1 NMU","ENSG00000184697 ENSG00000101680 ENSG00000109255","HGNC:2048 HGNC:6481 HGNC:7859"
"human","Fetal liver","B cell","CD19 CD20 CD24","ENSG00000177455 ENSG00000156738 ENSG00000272398","HGNC:1633 HGNC:7315 HGNC:1645"
"human","Fetal liver","Endothelial cell","FLT1","ENSG00000102755","HGNC:3763"
"human","Fetal liver","Endothelial precursor cell","CD133 FLK1 FLT1 TIE-2","ENSG00000007062 ENSG00000128052 ENSG00000102755 ENSG00000120156","HGNC:9454 HGNC:6307 HGNC:3763 HGNC:11724"
"human","Fetal liver","Erythroblast","GYPA","ENSG00000170180","HGNC:4702"
"human","Fetal liver","Hematopoietic cell","CD117 CD123 CD14 CD34 CD45 CD90 GlycophorinA CD31","ENSG00000157404 ENSG00000185291 ENSG00000170458 ENSG00000174059 ENSG00000262418 ENSG00000081237 ENSG00000154096 ENSG00000261371","HGNC:6342 HGNC:6012 HGNC:1628 HGNC:1662 HGNC:9666 HGNC:11801 HGNC:8823"
"human","Fetal liver","Hematopoietic precursor cell","CD117 CD123 CD14 CD34 CD45 CD90 GlycophorinA","ENSG00000157404 ENSG00000185291 ENSG00000170458 ENSG00000174059 ENSG00000262418 ENSG00000081237 ENSG00000154096","HGNC:6342 HGNC:6012 HGNC:1628 HGNC:1662 HGNC:9666 HGNC:11801"
"human","Fetal liver","Hepatocyte","a-fetoprotein Albumin c-Met Cytokeratin-19 AFP","ENSG00000081051","HGNC:317"
"human","Fetal liver","Kupffer cell","CD163","ENSG00000177575","HGNC:1631"
"human","Fetal liver","Liver progenitor cell","NOTCH3","ENSG00000074181","HGNC:7883"
"human","Fetal liver","Liver stem cell","NOTCH3 THY1 Alkaline phosphatase CD29 HLA class I II","ENSG00000074181 ENSG00000154096 ENSG00000150093","HGNC:7883 HGNC:11801 HGNC:6153"
"human","Fetal liver","Lymphoblast","LEF1","ENSG00000138795","HGNC:6551"
"human","Fetal liver","Mesenchymal cell","COL1A2","ENSG00000164692","HGNC:2198"
"human","Fetal liver","Mesenchymal stem cell","CD147 CD34 CD44 CD45 CD90 HLA-DR","ENSG00000172270 ENSG00000174059 ENSG00000026508 ENSG00000262418 ENSG00000081237 ENSG00000154096","HGNC:1116 HGNC:1662 HGNC:1681 HGNC:9666 HGNC:11801"
"human","Fetal liver","Progenitor cell","CD146","ENSG00000076706","HGNC:6934"
"human","Fetal liver","Stem cell","DLK1 THY1","ENSG00000185559 ENSG00000154096","HGNC:2907 HGNC:11801"
"human","Fetal liver","T cell","CD45 CD7","ENSG00000262418 ENSG00000081237 ENSG00000173762","HGNC:9666 HGNC:1695"
"human","Fetal pancreas","Neuroendocrine cell","Neuron-specific enolase","",""
"human","Foreskin","Epidermal stem cell","MCSP CD46","ENSG00000117335","HGNC:6953"
"human","Foreskin","Epidermal transit amplifying cell","PA-FABP","",""
"human","Foreskin","Mesenchymal stem cell","CD105 CD34 CD44 CD73 CD90 HLA-ABC HLA-DR","ENSG00000106991 ENSG00000174059 ENSG00000026508 ENSG00000135318 ENSG00000154096","HGNC:3349 HGNC:1662 HGNC:1681 HGNC:8021 HGNC:11801"
"human","Gall bladder","Cancer stem cell","CD133 NANOG Nestin OCT4","ENSG00000007062 ENSG00000111704","HGNC:9454 HGNC:20857"
"human","Gastric corpus","Gastric stem cell","MIST1 RUNX1 SOX2 TROY","ENSG00000159216 ENSG00000181449","HGNC:10471 HGNC:11195"
"human","Gastric epithelium","Zymogenic chief cell","CD13","ENSG00000166825","HGNC:500"
"human","Gastric gland","Gastric stem cell","LGR5","ENSG00000139292","HGNC:4504"
"human","Gastric gland","Stem cell","LGR5","ENSG00000139292","HGNC:4504"
"human","Gastrointestinal tract","Cancer stem cell","CD166","ENSG00000170017","HGNC:400"
"human","Gastrointestinal tract","Intestinal stem cell","LGR5","ENSG00000139292","HGNC:4504"
"human","Gastrointestinal tract","Stem cell","CD133 CD166 BMI1","ENSG00000007062 ENSG00000170017 ENSG00000168283","HGNC:9454 HGNC:400 HGNC:1066"
"human","Germ","Common lymphoid progenitor","CD10 CD34 CD38","ENSG00000196549 ENSG00000174059 ENSG00000004468","HGNC:7154 HGNC:1662 HGNC:1667"
"human","Germ","Definitive endoderm cell","CD184","ENSG00000121966","HGNC:2561"
"human","Germ","Ectoderm cell","NCAM NOTCH1","ENSG00000149294 ENSG00000148400","HGNC:7656 HGNC:7881"
"human","Germ","Embryonic stem cell","CCR4 CD133 CD15 CD24 CD29 CD30 CD324 CD338 CD49f CD9 Frizzled-5 GCTM-2 Podocalyxin SSEA-3 SSEA-4 TRA-1-60 TRA-1-81","ENSG00000183813 ENSG00000007062 ENSG00000196371 ENSG00000272398 ENSG00000150093 ENSG00000120949 ENSG00000039068 ENSG00000118777 ENSG00000091409 ENSG00000010278","HGNC:1605 HGNC:9454 HGNC:4015 HGNC:1645 HGNC:6153 HGNC:11923 HGNC:1748 HGNC:74 HGNC:6142 HGNC:1709"
"human","Germ","Endothelial cell","CD105 CD106 CD31 CD34 CD62E","ENSG00000106991 ENSG00000162692 ENSG00000261371 ENSG00000174059 ENSG00000007908","HGNC:3349 HGNC:12663 HGNC:8823 HGNC:1662 HGNC:10718"
"human","Germ","Granulocyte-monocyte progenitor","CD123 CD34 CD38 CD45RA","ENSG00000185291 ENSG00000174059 ENSG00000004468","HGNC:6012 HGNC:1662 HGNC:1667"
"human","Germ","Hemangioblast","CD133 CD143 CD144 CD202b CD309 CD31 CD324 CD34 EPHB4 Podocalyxin","ENSG00000007062 ENSG00000159640 ENSG00000179776 ENSG00000120156 ENSG00000128052 ENSG00000261371 ENSG00000039068 ENSG00000174059 ENSG00000196411","HGNC:9454 HGNC:2707 HGNC:1764 HGNC:11724 HGNC:6307 HGNC:8823 HGNC:1748 HGNC:1662 HGNC:3395"
"human","Germ","Hematopoietic stem cell","CD105 CD106 CD117 CD133 CD164 CD184 CD202b CD338 CD34 CD38 CD90 FLK-1 NOTCH1","ENSG00000106991 ENSG00000162692 ENSG00000157404 ENSG00000007062 ENSG00000135535 ENSG00000121966 ENSG00000120156 ENSG00000118777 ENSG00000174059 ENSG00000004468 ENSG00000154096 ENSG00000148400","HGNC:3349 HGNC:12663 HGNC:6342 HGNC:9454 HGNC:1632 HGNC:2561 HGNC:11724 HGNC:74 HGNC:1662 HGNC:1667 HGNC:11801 HGNC:7881"
"human","Germ","Megakaryocyte-erythroid progenitor","CD123 CD34 CD38 CD45RA","ENSG00000185291 ENSG00000174059 ENSG00000004468","HGNC:6012 HGNC:1662 HGNC:1667"
"human","Germ","Mesenchymal stem cell","CD105 CD166 CD44 CD45 CD73 CD90","ENSG00000106991 ENSG00000170017 ENSG00000026508 ENSG00000262418 ENSG00000081237 ENSG00000135318 ENSG00000154096","HGNC:3349 HGNC:400 HGNC:1681 HGNC:9666 HGNC:8021 HGNC:11801"
"human","Germ","Mesoderm cell","CD10 CD105 CD106 CD13 CD14 CD15 CD29 CD31 CD44 CD49d CD49f CD5 CD54 CD71 CD72 CD73 CD90 STRO-1","ENSG00000196549 ENSG00000106991 ENSG00000162692 ENSG00000166825 ENSG00000170458 ENSG00000196371 ENSG00000150093 ENSG00000261371 ENSG00000026508 ENSG00000115232 ENSG00000091409 ENSG00000110448 ENSG00000090339 ENSG00000072274 ENSG00000137101 ENSG00000135318 ENSG00000154096","HGNC:7154 HGNC:3349 HGNC:12663 HGNC:500 HGNC:1628 HGNC:4015 HGNC:6153 HGNC:8823 HGNC:1681 HGNC:6140 HGNC:6142 HGNC:1685 HGNC:5344 HGNC:11763 HGNC:1696 HGNC:8021 HGNC:11801"
"human","Germ","Mesodermal embryonic stem cell","CD31 CD325 CD34","ENSG00000261371 ENSG00000170558 ENSG00000174059","HGNC:8823 HGNC:1759 HGNC:1662"
"human","Germ","Myeloblast","CD114 CD116 CD13 CD15 CD33 CD91","ENSG00000119535 ENSG00000198223 ENSG00000166825 ENSG00000196371 ENSG00000105383 ENSG00000123384","HGNC:2439 HGNC:2435 HGNC:500 HGNC:4015 HGNC:1659 HGNC:6692"
"human","Germ","Neural crest cell","CD271 CD49d CD57 NOTCH1","ENSG00000064300 ENSG00000115232 ENSG00000109956 ENSG00000148400","HGNC:7809 HGNC:6140 HGNC:921 HGNC:7881"
"human","Germ","Neural tube cell","ABCG2 CD146 CD15 CD184 CD271 CD288 CD349 CD49f CD57 CD81 CD95 Neuroglycan-C Neuropilin-2 NOTCH1","ENSG00000118777 ENSG00000076706 ENSG00000196371 ENSG00000121966 ENSG00000064300 ENSG00000101916 ENSG00000188763 ENSG00000091409 ENSG00000109956 ENSG00000110651 ENSG00000026103 ENSG00000148400","HGNC:74 HGNC:6934 HGNC:4015 HGNC:2561 HGNC:7809 HGNC:15632 HGNC:4047 HGNC:6142 HGNC:921 HGNC:1701 HGNC:11920 HGNC:7881"
"human","Germ","Primitive endoderm cell","CD325","ENSG00000170558","HGNC:1759"
"human","Germ","Primordial germ cell","VASA","",""
"human","Germ","Proerythroblast","CD105 CD71 Glycophorin PU.1","ENSG00000106991 ENSG00000072274","HGNC:3349 HGNC:11763"
"human","Gingiva","Mesenchymal stem cell","CD105 CD166 CD29 CD44 CD49e CD73 CD90","ENSG00000106991 ENSG00000170017 ENSG00000150093 ENSG00000026508 ENSG00000161638 ENSG00000135318 ENSG00000154096","HGNC:3349 HGNC:400 HGNC:6153 HGNC:1681 HGNC:6141 HGNC:8021 HGNC:11801"
"human","Gonad","Germ cell","OCT4 SYCP3","ENSG00000139351","HGNC:18130"
"human","Gonad","Gonocyte","OCT3/4","",""
"human","Gonad","Premeiotic germ cell","MAGE-A4","",""
"human","Gut","Natural killer cell","NKp46","",""
"human","Hair follicle","Dermal papilla cell","CD133","ENSG00000007062","HGNC:9454"
"human","Hair follicle","Embryonic stem cell","NANOG OCT4","ENSG00000111704","HGNC:20857"
"human","Hair follicle","Epithelial hair follicle stem cell","CD200 Cytokeratin-15 Cytokeratin-19","ENSG00000091972","HGNC:7203"
"human","Hair follicle","Hair follicle cell","CD34 RUNX1","ENSG00000174059 ENSG00000159216","HGNC:1662 HGNC:10471"
"human","Hair follicle","Merkel cell","Cytokeratin-20","",""
"human","Hair follicle","Neural crest stem cell","CD271 CD49d HNK1","ENSG00000064300 ENSG00000115232","HGNC:7809 HGNC:6140"
"human","Hair follicle","Stem cell","Beta-catenin Cytokeratin-15 LGR5 LRIG1 SOX9 CD200 Cytokeratin-19","ENSG00000139292 ENSG00000144749 ENSG00000125398 ENSG00000091972","HGNC:4504 HGNC:17360 HGNC:11204 HGNC:7203"
"human","Heart","Cardiac progenitor cell","SCA-1 ABCG2 CD117 CD34 ETV2 GATA4 CD29 ISLET-1 NKX2.5 SCF SSEA-1 TBX18 WT1","ENSG00000118777 ENSG00000157404 ENSG00000174059 ENSG00000105672 ENSG00000285109 ENSG00000136574 ENSG00000150093 ENSG00000112837 ENSG00000184937","HGNC:74 HGNC:6342 HGNC:1662 HGNC:3491 HGNC:4173 HGNC:6153 HGNC:11595 HGNC:12796"
"human","Heart","Cardiomyocyte","Alpha-actinin cTnI cTnT CX43 MYH6 SIRPA connexin 43 alpha-Sarcoglycan ANP Beta-Sarcoglycan BMP4 GJA4 GJA5 Cripto Desmin epsilon-Sarcoglycan FABP3 GATA4 GATA6 HCN4 KIR2.1 LRG1 MEF2C MYH7 Myosin Heavy Chain NKX2.5 TBX5 Troponin T","ENSG00000197616 ENSG00000198053 ENSG00000125378 ENSG00000187513 ENSG00000265107 ENSG00000121769 ENSG00000285109 ENSG00000136574 ENSG00000141448 ENSG00000138622 ENSG00000171236 ENSG00000081189 ENSG00000092054 ENSG00000089225","HGNC:7576 HGNC:9662 HGNC:1071 HGNC:4278 HGNC:4279 HGNC:3557 HGNC:4173 HGNC:4174 HGNC:16882 HGNC:29480 HGNC:6996 HGNC:7577 HGNC:11604"
"human","Heart","Cardiovascular progenitor cell","FLT1 FLT4 ISL1 NKX2.5","ENSG00000102755 ENSG00000037280 ENSG00000016082","HGNC:3763 HGNC:3767 HGNC:6132"
"human","Heart","Endothelial cell","VWF","ENSG00000110799","HGNC:12726"
"human","Heart","Fibroblast","CKAP4","ENSG00000136026","HGNC:16991"
"human","Heart","Multipotent progenitor cell","ISL1","ENSG00000016082","HGNC:6132"
"human","Heart","Semilunar valve cell","MMP-13","",""
"human","Heart","Smooth muscle cell","alpha-smooth muscle actin CALD1 Calponin 1 Hexim Histamine H2 R GPR38 TAGLN VE-Cadherin","ENSG00000122786 ENSG00000077782 ENSG00000149591","HGNC:1441 HGNC:3688 HGNC:11553"
"human","Hippocampus","Neural stem cell","HMGB2","ENSG00000164104","HGNC:5000"
"human","Inferior colliculus","Neural stem cell","CD133 Nestin SOX2","ENSG00000007062 ENSG00000181449","HGNC:9454 HGNC:11195"
"human","Intervertebral disc","Endothelial cell","CD34 CD31 LYVE-1 Podoplanin","ENSG00000174059 ENSG00000261371","HGNC:1662 HGNC:8823"
"human","Intervertebral disc","Macrophage","CCR7 CD163 CD206 CD68","ENSG00000126353 ENSG00000177575 ENSG00000260314 ENSG00000129226","HGNC:1608 HGNC:1631 HGNC:7228 HGNC:1693"
"human","Intervertebral disc","Nucleus pulposus cell","FOXF1 PAX1","ENSG00000103241 ENSG00000125813","HGNC:3809 HGNC:8615"
"human","Intervertebral disc","Schwann cell","Glial fibrillary acidic protein GFAP","ENSG00000131095","HGNC:4235"
"human","Intestinal crypt","Intestinal stem cell","CD166 CD24 CD44","ENSG00000170017 ENSG00000272398 ENSG00000026508","HGNC:400 HGNC:1645 HGNC:1681"
"human","Intestine","Cancer stem cell","CD166","ENSG00000170017","HGNC:400"
"human","Intestine","Intestinal epithelial stem cell","PHLDA1","ENSG00000139289","HGNC:8933"
"human","Intestine","Intestinal stem cell","DCAMKL-1","",""
"human","Intestine","Myeloid dendritic cell","CD11b CD11c CD197 CD1a CD1b CD1c CD205 CD207 CD209 CD273 CD304 CD4 CD40 CD49d CD80 CD83 CD86 F4/80 HLA-DR MHC Class II","ENSG00000169896 ENSG00000140678 ENSG00000126353 ENSG00000054219 ENSG00000116031 ENSG00000090659 ENSG00000197646 ENSG00000099250 ENSG00000010610 ENSG00000101017 ENSG00000115232 ENSG00000121594 ENSG00000112149 ENSG00000114013","HGNC:6149 HGNC:6152 HGNC:1608 HGNC:6729 HGNC:17935 HGNC:1641 HGNC:18731 HGNC:8004 HGNC:1678 HGNC:11919 HGNC:6140 HGNC:1700 HGNC:1703 HGNC:1705"
"human","Intestine","Paneth cell","IL-9","",""
"human","Jejunum","Intestinal epithelial stem cell","CD24 CD44","ENSG00000272398 ENSG00000026508","HGNC:1645 HGNC:1681"
